condition,primary_symptoms,secondary_symptoms,department,severity,description,common_age_group,prevalence
"Common Cold","runny nose,sore throat,sneezing,cough","mild fever,headache,fatigue","General Medicine","self-care","Viral upper respiratory tract infection caused by rhinovirus","All ages","Very Common"
"Influenza (Flu)","high fever,body ache,cough,fatigue","headache,sore throat,chills","General Medicine","GP","Acute viral infection of respiratory system","All ages","Seasonal"
"COVID-19","fever,dry cough,loss of smell,loss of taste","fatigue,shortness of breath,body ache","General Medicine","urgent","Viral infection caused by SARS-CoV-2","All ages","Pandemic"
"Pneumonia","high fever,productive cough,chest pain,shortness of breath","chills,confusion,rapid breathing","Pulmonology","emergency","Lung infection causing inflammation of air sacs","All ages","Common"
"Bronchitis","persistent cough,mucus production,chest discomfort","fever,fatigue,shortness of breath","Pulmonology","GP","Inflammation of bronchial tubes","Adults","Common"
"Asthma","wheezing,shortness of breath,chest tightness,cough","difficulty breathing,rapid breathing","Pulmonology","urgent","Chronic inflammatory airway disease","All ages","Common"
"COPD","chronic cough,shortness of breath,wheezing","chest tightness,fatigue,frequent infections","Pulmonology","GP","Chronic obstructive pulmonary disease","Adults 40+","Common"
"Tuberculosis","persistent cough,night sweats,weight loss,chest pain","fever,coughing blood,fatigue","Pulmonology","urgent","Bacterial infection affecting lungs","Adults","Moderate"
"Hypertension","headache,dizziness,blurred vision","nosebleeds,shortness of breath,chest pain","Cardiology","GP","High blood pressure","Adults 35+","Very Common"
"Heart Attack","severe chest pain,pain radiating to arm,sweating","shortness of breath,nausea,dizziness","Cardiology","emergency","Myocardial infarction - blocked blood flow to heart","Adults 40+","Moderate"
"Angina","chest pain,pressure in chest,pain in jaw","shortness of breath,fatigue,sweating","Cardiology","urgent","Reduced blood flow to heart muscle","Adults 40+","Common"
"Arrhythmia","irregular heartbeat,palpitations,dizziness","chest pain,shortness of breath,fainting","Cardiology","urgent","Irregular heart rhythm","Adults","Moderate"
"Heart Failure","shortness of breath,swelling in legs,fatigue","rapid heartbeat,persistent cough,reduced exercise tolerance","Cardiology","urgent","Heart cannot pump blood effectively","Adults 60+","Moderate"
"Stroke","sudden weakness,slurred speech,facial drooping","severe headache,confusion,vision problems","Neurology","emergency","Blood flow interruption to brain","Adults 50+","Moderate"
"Migraine","severe headache,sensitivity to light,nausea","visual disturbances,vomiting,dizziness","Neurology","GP","Severe recurring headaches","Adults 20-50","Common"
"Tension Headache","dull headache,pressure around head,neck pain","fatigue,irritability","Neurology","self-care","Most common type of headache","Adults","Very Common"
"Epilepsy","seizures,loss of consciousness,muscle spasms","confusion,staring spells,uncontrollable movements","Neurology","urgent","Neurological disorder causing seizures","All ages","Moderate"
"Parkinson's Disease","tremors,stiffness,slow movement","balance problems,stooped posture,difficulty writing","Neurology","GP","Progressive nervous system disorder","Adults 60+","Moderate"
"Alzheimer's Disease","memory loss,confusion,difficulty thinking","personality changes,disorientation,mood swings","Neurology","GP","Progressive brain disorder affecting memory","Adults 65+","Common"
"Multiple Sclerosis","numbness,fatigue,vision problems","muscle weakness,dizziness,coordination problems","Neurology","GP","Autoimmune disease affecting brain and spinal cord","Adults 20-40","Rare"
"Type 1 Diabetes","excessive thirst,frequent urination,weight loss","extreme hunger,fatigue,blurred vision","Endocrinology","urgent","Chronic condition with high blood sugar","Children/Young Adults","Moderate"
"Type 2 Diabetes","increased thirst,frequent urination,fatigue","slow healing wounds,numbness in feet,blurred vision","Endocrinology","GP","Impaired insulin production/use","Adults 40+","Very Common"
"Hyperthyroidism","weight loss,rapid heartbeat,nervousness","sweating,tremors,difficulty sleeping","Endocrinology","GP","Overactive thyroid gland","Adults 20-40","Moderate"
"Hypothyroidism","fatigue,weight gain,cold sensitivity","depression,constipation,dry skin","Endocrinology","GP","Underactive thyroid gland","Adults 40+","Common"
"PCOS","irregular periods,weight gain,acne","excess hair growth,difficulty conceiving,pelvic pain","Gynecology","GP","Polycystic Ovary Syndrome","Women 20-40","Common"
"Gastritis","stomach pain,nausea,bloating","vomiting,loss of appetite,indigestion","Gastroenterology","GP","Inflammation of stomach lining","Adults","Common"
"GERD","heartburn,acid reflux,chest pain","difficulty swallowing,regurgitation,chronic cough","Gastroenterology","GP","Gastroesophageal reflux disease","Adults","Very Common"
"Peptic Ulcer","stomach pain,burning sensation,nausea","vomiting,bloating,weight loss","Gastroenterology","GP","Sores in stomach or small intestine lining","Adults","Common"
"Appendicitis","severe lower right abdominal pain,nausea,vomiting","fever,loss of appetite,inability to pass gas","General Surgery","emergency","Inflammation of appendix","All ages","Moderate"
"Gallstones","upper right abdominal pain,nausea,vomiting","fever,jaundice,back pain","Gastroenterology","urgent","Hardened deposits in gallbladder","Adults 40+","Common"
"IBS","abdominal pain,bloating,diarrhea or constipation","gas,mucus in stool,cramping","Gastroenterology","GP","Irritable Bowel Syndrome","Adults 20-40","Common"
"Crohn's Disease","abdominal pain,diarrhea,weight loss","fatigue,fever,blood in stool","Gastroenterology","GP","Inflammatory bowel disease","Adults 20-30","Moderate"
"Ulcerative Colitis","bloody diarrhea,abdominal pain,urgency to defecate","weight loss,fatigue,fever","Gastroenterology","GP","Chronic inflammation of colon","Adults 20-40","Moderate"
"Hepatitis","jaundice,fatigue,abdominal pain","dark urine,pale stool,loss of appetite","Gastroenterology","urgent","Liver inflammation","All ages","Moderate"
"Cirrhosis","fatigue,easy bruising,swelling in legs","jaundice,itching,confusion","Gastroenterology","urgent","Severe liver scarring","Adults 40+","Moderate"
"Kidney Stones","severe back pain,pain during urination,blood in urine","nausea,vomiting,frequent urination","Urology","urgent","Hard deposits in kidneys","Adults 30-50","Common"
"UTI","burning during urination,frequent urination,lower abdominal pain","cloudy urine,strong odor,fever","Urology","GP","Urinary Tract Infection","Women more common","Very Common"
"Chronic Kidney Disease","fatigue,swelling,frequent urination","nausea,loss of appetite,high blood pressure","Nephrology","GP","Gradual loss of kidney function","Adults 60+","Common"
"Prostate Enlargement","difficulty urinating,weak stream,frequent urination","incomplete emptying,urgency","Urology","GP","Benign Prostatic Hyperplasia","Men 50+","Very Common"
"Rheumatoid Arthritis","joint pain,stiffness,swelling","fatigue,fever,loss of joint function","Rheumatology","GP","Autoimmune disorder affecting joints","Adults 40-60","Common"
"Osteoarthritis","joint pain,stiffness,reduced flexibility","bone spurs,crackling sound in joints","Orthopedics","GP","Wear and tear arthritis","Adults 50+","Very Common"
"Gout","severe joint pain,redness,swelling","warmth in joint,limited movement","Rheumatology","urgent","Buildup of uric acid crystals in joints","Adults 40+","Common"
"Osteoporosis","bone fractures,back pain,stooped posture","loss of height,bone pain","Orthopedics","GP","Weakened bones","Adults 65+","Common"
"Fracture","pain,swelling,bruising,deformity","inability to move,visible bone","Orthopedics","emergency","Broken bone","All ages","Common"
"Back Pain","lower back pain,stiffness,muscle spasms","radiating pain to legs,numbness","Orthopedics","GP","Common musculoskeletal problem","Adults","Very Common"
"Anemia","fatigue,weakness,pale skin","dizziness,cold hands,shortness of breath","Hematology","GP","Low red blood cell count","All ages","Common"
"Leukemia","fatigue,frequent infections,easy bruising","fever,weight loss,swollen lymph nodes","Hematology","urgent","Blood cancer affecting white blood cells","All ages","Rare"
"Lymphoma","swollen lymph nodes,fever,night sweats","weight loss,fatigue,itching","Hematology","urgent","Cancer of lymphatic system","Adults","Rare"
"Dengue Fever","high fever,severe headache,pain behind eyes","joint pain,muscle pain,rash,bleeding","Infectious Disease","urgent","Mosquito-borne viral infection","Tropical regions","Seasonal"
"Malaria","high fever,chills,sweating","headache,nausea,vomiting,muscle pain","Infectious Disease","urgent","Mosquito-borne parasitic infection","Tropical regions","Common"
"Typhoid","sustained high fever,weakness,stomach pain","headache,loss of appetite,rash","Infectious Disease","urgent","Bacterial infection from contaminated food/water","All ages","Moderate"
"Measles","fever,cough,runny nose,red rash","white spots in mouth,conjunctivitis","Pediatrics","urgent","Highly contagious viral infection","Children","Vaccine-preventable"
"Chickenpox","itchy rash,fever,fatigue","red spots turning to blisters,headache","Pediatrics","GP","Viral infection causing itchy rash","Children","Common"
"Mumps","swollen salivary glands,fever,headache","jaw pain,difficulty swallowing,fatigue","Pediatrics","GP","Viral infection affecting glands","Children","Vaccine-preventable"
"Whooping Cough","severe coughing fits,whooping sound,vomiting","fever,runny nose,difficulty breathing","Pediatrics","urgent","Pertussis - bacterial respiratory infection","Children","Moderate"
"Hand Foot Mouth Disease","fever,sores in mouth,rash on hands and feet","sore throat,reduced appetite","Pediatrics","GP","Viral infection common in young children","Children under 5","Common"
"Depression","persistent sadness,loss of interest,fatigue","sleep problems,appetite changes,difficulty concentrating","Psychiatry","GP","Mental health disorder affecting mood","Adults","Very Common"
"Anxiety Disorder","excessive worry,restlessness,nervousness","rapid heartbeat,sweating,difficulty concentrating","Psychiatry","GP","Mental health disorder causing anxiety","Adults","Very Common"
"Bipolar Disorder","mood swings,extreme highs and lows","impulsive behavior,sleep changes,racing thoughts","Psychiatry","GP","Mental disorder with manic and depressive episodes","Adults 20-30","Moderate"
"Schizophrenia","hallucinations,delusions,disorganized thinking","social withdrawal,lack of motivation,flat emotions","Psychiatry","urgent","Serious mental disorder affecting reality perception","Adults 20-30","Rare"
"OCD","repetitive thoughts,compulsive behaviors,anxiety","excessive checking,cleaning,counting","Psychiatry","GP","Obsessive-Compulsive Disorder","Adults","Moderate"
"PTSD","flashbacks,nightmares,severe anxiety","avoidance,negative thoughts,hypervigilance","Psychiatry","GP","Post-Traumatic Stress Disorder","Adults","Moderate"
"Eczema","itchy skin,red patches,dry skin","cracked skin,thickened skin,inflammation","Dermatology","GP","Chronic inflammatory skin condition","All ages","Common"
"Psoriasis","red patches with silvery scales,dry cracked skin","itching,burning,thickened nails","Dermatology","GP","Autoimmune skin condition","Adults","Common"
"Acne","pimples,blackheads,whiteheads","oily skin,scars,cysts","Dermatology","self-care","Common skin condition affecting oil glands","Teenagers/Young Adults","Very Common"
"Skin Allergies","rash,itching,redness","swelling,hives,burning sensation","Dermatology","GP","Allergic reaction on skin","All ages","Common"
"Fungal Infection","itching,redness,circular rash","scaling,cracking,discharge","Dermatology","GP","Skin infection caused by fungi","All ages","Common"
"Cataracts","blurred vision,faded colors,glare sensitivity","double vision,difficulty seeing at night","Ophthalmology","GP","Clouding of eye lens","Adults 60+","Very Common"
"Glaucoma","gradual vision loss,eye pain,halos around lights","redness,nausea,tunnel vision","Ophthalmology","urgent","Increased eye pressure damaging optic nerve","Adults 60+","Common"
"Conjunctivitis","red eyes,itching,discharge","watery eyes,burning sensation,swelling","Ophthalmology","GP","Pink eye - inflammation of conjunctiva","All ages","Common"
"Macular Degeneration","blurred central vision,difficulty reading,distorted vision","dark areas in vision,color perception changes","Ophthalmology","GP","Age-related vision loss","Adults 65+","Common"
"Hearing Loss","difficulty hearing,muffled sounds,ringing in ears","difficulty understanding speech,social withdrawal","ENT","GP","Reduced ability to hear sounds","Adults 60+","Very Common"
"Tonsillitis","sore throat,swollen tonsils,difficulty swallowing","fever,white patches on tonsils,bad breath","ENT","GP","Inflammation of tonsils","Children/Young Adults","Common"
"Sinusitis","facial pain,nasal congestion,headache","thick nasal discharge,reduced smell,fever","ENT","GP","Inflammation of sinuses","Adults","Common"
"Vertigo","spinning sensation,dizziness,loss of balance","nausea,vomiting,difficulty standing","ENT","GP","Balance disorder causing spinning sensation","Adults","Common"
"Sleep Apnea","loud snoring,gasping during sleep,daytime fatigue","morning headaches,difficulty concentrating,irritability","Pulmonology","GP","Breathing repeatedly stops during sleep","Adults 40+","Common"
"Insomnia","difficulty falling asleep,waking frequently,early waking","daytime fatigue,irritability,difficulty concentrating","Psychiatry","GP","Chronic sleep disorder","Adults","Very Common"
"Pregnancy Complications","nausea,vomiting,swelling","high blood pressure,bleeding,severe headache","Obstetrics","urgent","Various complications during pregnancy","Pregnant women","Varies"
"Menopause Symptoms","hot flashes,night sweats,mood changes","irregular periods,vaginal dryness,sleep problems","Gynecology","GP","Natural decline in reproductive hormones","Women 45-55","Universal"
"Endometriosis","pelvic pain,painful periods,pain during intercourse","heavy bleeding,fatigue,digestive problems","Gynecology","GP","Tissue similar to uterine lining grows outside uterus","Women 20-40","Common"
"Fibroids","heavy periods,pelvic pain,frequent urination","constipation,backache,leg pains","Gynecology","GP","Non-cancerous uterine growths","Women 30-50","Common"
"Cellulitis","red swollen skin,pain,warmth","fever,chills,swollen lymph nodes","Dermatology","urgent","Bacterial skin infection","Adults","Common"
"Sepsis","high fever,rapid heartbeat,rapid breathing","confusion,extreme pain,clammy skin","Emergency Medicine","emergency","Life-threatening body response to infection","All ages","Critical"
"Meningitis","severe headache,stiff neck,fever","confusion,sensitivity to light,vomiting","Neurology","emergency","Inflammation of brain and spinal cord membranes","All ages","Critical"
"Food Poisoning","nausea,vomiting,diarrhea","abdominal cramps,fever,weakness","Gastroenterology","GP","Illness from contaminated food","All ages","Common"
"Dehydration","excessive thirst,dry mouth,dark urine","dizziness,fatigue,confusion","General Medicine","urgent","Severe water loss from body","All ages","Common"
"Heat Stroke","high body temperature,altered mental state,rapid breathing","nausea,seizures,loss of consciousness","Emergency Medicine","emergency","Body overheating from prolonged heat exposure","All ages","Critical"
"Hypothermia","shivering,confusion,drowsiness","slow breathing,weak pulse,loss of coordination","Emergency Medicine","emergency","Dangerously low body temperature","All ages","Critical"
"Burns","pain,redness,blisters","swelling,peeling skin,shock","Emergency Medicine","urgent","Tissue damage from heat, chemicals, or electricity","All ages","Common"
"Poisoning","nausea,vomiting,confusion","difficulty breathing,seizures,unconsciousness","Emergency Medicine","emergency","Harmful substance ingestion or exposure","All ages","Moderate"
"Allergic Reaction","hives,itching,swelling","difficulty breathing,rapid pulse,dizziness","Allergy/Immunology","urgent","Immune system response to allergen","All ages","Common"
"Anaphylaxis","severe allergic reaction,difficulty breathing,rapid pulse","swelling of throat,dizziness,loss of consciousness","Emergency Medicine","emergency","Severe life-threatening allergic reaction","All ages","Critical"
